Gen	ID
3	C(C(C(C(C(C)=O)=O)O)O)(O)=O
3	[C](C(O)=O)(CC(C(C)=O)=O)O
3	C(C(CC(C(C)=O)=O)O)(O)=O
3	C(C(C)=O)(OC(C(C)=O)=O)=O
3	C(C(C=O)O)=O
3	C(C(C=O)O)(O)=O
3	C(O)=O
3	CC(CCO)O
3	C(CCO)(O)=O
3	C(C(C)(CCO)O)(O)=O
3	C(CO)(CO)=O
3	C(C)(CO)=O
3	CO
3	CCO
3	C(CC(C)O)(O)=O
3	C(CC(O)=O)(O)=O
3	C(C(C)(CC(O)=O)O)(O)=O
3	C(C)(O)=O
3	C(C(CO)(C(CC(C)O)O)O)(O)=O
3	C(C(CO)(C(CC(O)=O)O)O)(O)=O
3	C(C(CO)(C(C(CO)=O)O)O)(O)=O
3	C(C(CO)(C(C=O)(CO)O)O)(O)=O
3	C(C(CO)(C(C=O)(C)O)O)(O)=O
3	C(C(CO)(C(C(C)=O)O)O)(O)=O
3	C(C(CO)(CO)O)(O)=O
3	C(C(C(CC(C)O)O)O)(O)=O
3	C(C(C)(C(CC(C)O)O)O)(O)=O
3	C(CC(C(C(O)=O)O)O)(O)=O
3	C(C(C)(C(CC(O)=O)O)O)(O)=O
3	C(C(C(C(CO)=O)O)O)(O)=O
3	C(C(C)(C(C(CO)=O)O)O)(O)=O
3	C(C(CO)(C(C(O)=O)O)O)=O
3	C(C(C)(C(C=O)(CO)O)O)(O)=O
3	C(C(C)(C(C(O)=O)O)O)=O
3	C(C(C)(C(C=O)(C)O)O)(O)=O
3	C(C(C(C(C)=O)O)O)(O)=O
3	C(C(C)(C(C(C)=O)O)O)(O)=O
3	C(C(CO)(C)O)(O)=O
3	C(C(CO)(C(C(O)=O)O)O)(O)=O
3	C(C(C(C)O)O)(O)=O
3	C(C(C(O)=O)O)(O)=O
3	C(C(C)(C(C(O)=O)O)O)(O)=O
3	C(C(C=O)(C)O)(O)=O
3	C(C(C(C)=O)CO)(O)=O
3	C(C)(C(C(O)=O)C)=O
3	C(C(C(CC(O)=O)=O)(C)O)(O)=O
3	C(C(C(C(C(O)=O)O)=O)C)(O)=O
3	C(C)=CC=O
3	C(CC=C)=O
3	C(C)=CC(C(O)=O)=O
3	C=CCC(C(O)=O)=O
3	C(CC(C(O)=O)=C)=O
3	C(C=C(C(O)=O)C)=O
3	C(C(C=C)(CO)O)(O)=O
3	C(C(C(C(O)=O)=C)(CO)O)(O)=O
3	C=C(C(O)=O)C(C)O
3	C(C(C=C)(C)O)(O)=O
3	C=C(C(O)=O)C(O)=O
3	C(C(C(C(O)=O)=C)(C)O)(O)=O
3	C(C(C(C(C(O)=O)=C)O)O)(O)=O
3	C1(C(C=C(C(O)=O)O1)(C)O)=O
3	C(C1(C=C(C(O1)=O)C)O)(O)=O
3	C(C1(CC(C(O1)=O)=C)O)(O)=O
3	C1(C(C)=CC(C(O1)=O)=O)=O
3	C=C1C(OC(C(C1)=O)=O)=O
3	[C](C(O)=O)=CC(C(O)=O)(C)O
3	C(C(C)=C[C](C(O)=O)O)(O)=O
3	C=C(C(O)=O)C[C](C(O)=O)O
3	C(C(C=CC(O)=O)(C)O)(O)=O
3	C(C(C=C(C(O)=O)C)O)(O)=O
3	C(C(CC(C(O)=O)=C)O)(O)=O
3	CC(C(CO)O)O
3	C(C(C(C(C)O)O)O)(O)=O
3	C(C(C)(C(CO)O)O)(O)=O
3	C(C(C(C(O)=O)O)O)(O)=O
3	C(C(CO)O)(CC(C(O)=O)=O)=O
3	C(C(CO)O)=O
3	C(C1(C)C(C(C(O1)=O)O)O)(O)=O
3	C1(C(C)(C(C(C(O1)=O)O)O)O)=O
3	C(C(C)C(C(C(O)=O)=O)O)(O)=O
3	C(C(CO)CC(C(O)=O)=O)(O)=O
3	C([CH]CO)(O)=O
3	C=C
3	C1(C(C)(CC(O)O1)O)=O
3	C(C)(C1(CC(C(O1)=O)=O)O)=O
3	C1(C2(C)CC(C(O2)=O)(O)O1)=O
3	C1(C(C)(O)OC(C(C1)=O)=O)=O
3	C(CO)=O
3	C1(C(OC(C)C1)=O)=O
3	C1(CC(C(O1)=O)=O)=O
3	C1(C(C)(C(C(O)=O)(CO1)O)O)=O
3	C1(C(CO)(C(C(O1)=O)(C)O)O)=O
3	C1(C(C)(C(C(O1)=O)(C)O)O)=O
3	C1(C(C)(C(C(C(O)=O)O1)O)O)=O
3	C(C1(C)C[C](C(O1)=O)O)(O)=O
3	C1(C(C)(C[C](C(O)=O)O1)O)=O
3	C(C1(C)CC(C(O1)=O)O)(O)=O
3	C1(C(C)(CC(C(O)=O)O1)O)=O
3	C1(C(C)(C[C](C(O1)=O)O)O)=O
3	C1(C(C)(CC(C(O1)=O)O)O)=O
3	C(C(C(C)O)C[CH]C(O)=O)=O
3	C(C(CCC(O)=O)C(C)O)=O
3	C(CC(CC[CH]C(O)=O)O)=O
3	C(CCCC(CC=O)O)(O)=O
3	C(CC(C)(C[CH]C(O)=O)O)=O
3	C(CCC(C)(CC=O)O)(O)=O
3	C(C(C(O)=O)C[CH]C(O)=O)=O
3	C(C(C(O)=O)CCC(O)=O)=O
3	C([CH]CC(C(C=O)=O)O)(O)=O
3	C(CCC(C(C=O)=O)O)(O)=O
3	C(C(CC[CH]C(O)=O)=O)=O
3	C(CCCC(C=O)=O)(O)=O
3	C(C(C[CH]C(O)=O)O)(O)=O
3	C(CCC(C(O)=O)O)(O)=O
3	[CH](C(O)=O)CC(CO)O
3	C(C(C(C[CH]C(O)=O)O)=O)(O)=O
3	C(C(C(C[CH]C(O)=O)O)O)(O)=O
3	C(C(CO)(C[CH]C(O)=O)O)(O)=O
3	C(CC[CH]C(O)=O)=O
3	C([C](CC[CH]C(O)=O)O)(O)=O
3	C(C(CC[CH]C(O)=O)O)(O)=O
3	C(C(C)(C[CH]C(O)=O)O)(O)=O
3	C(C(CC[CH]C(O)=O)=O)(O)=O
3	C(CCC(CO)O)(O)=O
3	C(CCC(C(C(O)=O)=O)O)(O)=O
3	C(CCC(C(C(O)=O)O)O)(O)=O
3	C(C(CO)(CCC(O)=O)O)(O)=O
3	C(CCCC(O)=O)=O
3	C(CCC[C](C(O)=O)O)(O)=O
3	C(CCCC(C(O)=O)O)(O)=O
3	C(C(C)(CCC(O)=O)O)(O)=O
3	C(CCCC(C(O)=O)=O)(O)=O
3	[C](C(O)=O)(CC(C)O)O
3	C(C[C](C(O)=O)O)(O)=O
3	C([C](CO)O)(O)=O
3	C(C(C)O)=O
3	C(C(O)=O)=O
3	C(C(CC(C)O)O)(O)=O
3	C(CC(C(O)=O)O)(O)=O
4	C1(C(C(C(C1O)O)C(C)O)O)=O
4	C1(C(C(C(C1)O)C(C)O)O)=O
4	C(C1C(C(C(C1O)=O)O)O)(O)=O
4	C(C1C(CC(C1O)=O)O)(O)=O
4	C(C1(CC(C(C1CO)=O)=O)O)(O)=O
4	C1(C(C(C(C(C1O)O)=O)O)O)=O
4	C(C1(C(C(C(C1O)=O)O)O)O)=O
4	C(C1(CC(C(C1O)=O)O)O)=O
4	C1(C(C(C(CC1O)=O)O)O)=O
4	C(C1(C(C(C(C1O)=O)O)O)O)(O)=O
4	C1(C(C(CC1O)O)O)=O
4	C(C1(CC(C(C1O)=O)O)O)(O)=O
4	C(C1(C(C(C(C1)=O)O)O)O)=O
4	C(C1(CC(C(C1)=O)O)O)=O
4	C1(CC(C(CC1O)=O)O)=O
4	C(C1(C(C(C(C1)=O)O)O)O)(O)=O
4	C1(C(CC(C1)O)O)=O
4	C(C1(CC(C(C1)=O)O)O)(O)=O
4	C1(C(CC(C1)O)=O)=O
4	C1(C2(CC(C(C2)=O)(O)O1)O)=O
4	C(C(C(CO)C(CC(C)O)O)=O)=O
4	C(C(C(CC(CC(C)O)O)O)O)=O
4	C(CC(CC(CC(C)O)O)O)=O
4	C(C(C(CC(C)O)O)C(C=O)O)=O
4	C(C(C(CO)O)C(CC(C)O)O)=O
4	C(C(CO)C(CC(C)O)O)=O
4	C(C(C(C)O)C(C(CCO)=O)O)=O
4	C(C(CO)C(C(CO)C(C)O)O)=O
4	C(CO)(CC(C(CO)C(C)O)O)=O
4	C(C)(C(C(C(CO)C(C)O)O)O)=O
4	C(C(C=C)C(C(CO)C(C)O)O)=O
4	C(C(C(C(CO)C(C)O)O)O)=O
4	C(CC(C(CO)C(C)O)O)=O
4	C(C(CC(C(CO)C(C)O)O)=O)=O
4	C(C(C(C(C(C)O)C(C)O)O)O)=O
4	C(CC(C(C(C)O)C(C)O)O)=O
4	C(C(C(C(C=O)O)O)C(C)O)(O)=O
4	C(C(C(CC=O)O)C(C)O)(O)=O
4	C(CC(C(C(C=O)=O)CO)O)(O)=O
4	C(CC(CC(C(C=O)O)O)O)(O)=O
4	C(CC(CC(CC=O)O)O)(O)=O
4	C(CC(C(C=O)C(C=O)O)O)(O)=O
4	C(C(C(CC(O)=O)O)C(CO)O)=O
4	C(C(CO)C(CC(O)=O)O)=O
4	C(C(C=O)C(C(CCO)=O)O)(O)=O
4	C(C(CO)C(C(C=O)CO)O)(O)=O
4	C(C(CO)C(CC(CO)=O)O)(O)=O
4	C(C(CO)C(C(C(C)=O)O)O)(O)=O
4	C(C(C=C)C(C(C(O)=O)CO)O)=O
4	C(C(CO)C(C(C=O)O)O)(O)=O
4	C(C(CO)C(CC=O)O)(O)=O
4	C(C(CO)C(CC(C=O)=O)O)(O)=O
4	C(C(C(O)=O)C(C(C=O)O)O)(O)=O
4	C(C(C(O)=O)C(CC=O)O)(O)=O
4	C(C(C(C(C=O)=O)CO)O)(CO)=O
4	C(C(CC(C=O)=O)O)(C(CO)O)=O
4	C(C(C(CC(C(CO)=O)O)O)O)=O
4	C(CC(CC(C(CO)=O)O)O)=O
4	C(CC(C(CO)(C(C=O)O)O)O)=O
4	C(CC(C(CO)(CC=O)O)O)=O
4	C(C(C(C=O)C(C(CO)=O)O)O)=O
4	C(C(C(CO)O)C(C(CO)=O)O)=O
4	C(C(CO)C(C(CO)=O)O)=O
4	C(C(C(C(C(CC=O)O)=O)O)O)=O
4	C(CC(C(C(C(CO)O)O)=O)O)=O
4	C(CC(C(C(C(C)O)O)=O)O)=O
4	C(C(C(C(CC=O)O)=O)O)(O)=O
4	C(CC(C(C(CO)O)=O)O)=O
4	C(C(CO)(C(C(C=O)=O)CO)O)=O
4	C(C(CO)(CC(C(C=O)O)O)O)=O
4	C(C(CO)(CC(CC=O)O)O)=O
4	C(CC(CO)(C(C(C=O)O)O)O)=O
4	C(C(C(C=O)C(C=O)(CO)O)O)=O
4	C(C(C(CO)O)C(C=O)(CO)O)=O
4	C(C(CO)C(C=O)(CO)O)=O
4	C(C(C(C(C=O)=O)O)O)(CCO)=O
4	C(C(CO)C(C(C(CO)O)=O)O)=O
4	C(CC(C(C(CO)O)=O)O)(CO)=O
4	C(C(C(C(C(CO)O)=O)O)O)(C)=O
4	C(C(C=C)C(C(C(CO)O)=O)O)=O
4	C(C(C(C=O)O)O)(C(CO)O)=O
4	C(C(CO)C(C=O)(C(CO)O)O)=O
4	C(C(C(CO)O)(CC(CO)=O)O)=O
4	C(C(C(CO)O)(C(C(C)=O)O)O)=O
4	C(C(C=C)C(C=O)(C(CO)O)O)=O
4	C(C(C(CO)O)(C(C=O)O)O)=O
4	C(C(C(CO)O)(CC=O)O)=O
4	C(C(C(CO)O)(CC(C=O)=O)O)=O
4	C(C(C(C=O)O)O)(C(C(C)O)O)=O
4	C(C(C(C(C)O)O)(C(C=O)O)O)=O
4	C(C(C(C(C)O)O)(CC=O)O)=O
4	C(C(C(C(C(C=O)O)O)=O)O)(O)=O
4	C(C(C(C=O)(C(C=O)O)O)O)(O)=O
4	C(C(C(C=O)(CC=O)O)O)(O)=O
4	C(C(C)(CC(C=O)(CC=O)O)O)=O
4	C(CC(C(CC(C=O)(C)O)=O)O)=O
4	C(CC(C(C)(CC(C=O)=O)O)O)=O
4	C(C(C)(C(C(C=O)=O)C(C)O)O)=O
4	C(C(C(C=O)=O)C(C=O)(C)O)(O)=O
4	C(C(C)(C(C(C=O)=O)CO)O)=O
4	C(C(CO)C(CC(C=O)(C)O)O)=O
4	C(C(C)(CC(CC(CO)=O)O)O)=O
4	C(C(C)(CC(C(C(C)=O)O)O)O)=O
4	C(C(C=C)C(CC(C=O)(C)O)O)=O
4	C(C(C)(CC(C(C=O)O)O)O)=O
4	C(C(C)(CC(CC=O)O)O)=O
4	C(C(C)(CC(CC(C=O)=O)O)O)=O
4	C(C(CO)C(C(C)(CC=O)O)O)=O
4	C(CC(C)(C(CC(CO)=O)O)O)=O
4	C(CC(C)(C(C(C(C)=O)O)O)O)=O
4	C(C(C=C)C(C(C)(CC=O)O)O)=O
4	C(CC(C)(C(C(C=O)O)O)O)=O
4	C(CC(C(C)(CC=O)O)O)=O
4	C(CC(C)(C(CC(C=O)=O)O)O)=O
4	C(C(C(CCO)O)C(C=O)(C)O)=O
4	C(C(C(C=O)C(C=O)(C)O)O)=O
4	C(C(C(CO)(C)O)C(C=O)(C)O)=O
4	C(C(C)(C(C=O)C(C=CC)O)O)=O
4	C(C(C(CC=C)O)C(C=O)(C)O)=O
4	C(C(C(CO)O)C(C=O)(C)O)=O
4	C(C(C(C(C)O)O)C(C=O)(C)O)=O
4	C(C(C(C=O)C(C=O)(C)O)O)(O)=O
4	C(C(C)(C(C=O)C(C=O)(C)O)O)=O
4	C(C(C(C=O)C(C=O)(C)O)O)(C)=O
4	C(C(CO)C(C=O)(C)O)=O
4	C(C(C)(C(C(C(O)=O)=O)CO)O)=O
4	C(C)(C(CC(C=O)(CC=O)O)O)=O
4	C(CC(C(CC(C(C)=O)O)=O)O)=O
4	C(C(C(C(C=O)=O)C(C)O)O)(C)=O
4	C(C(C(C=O)=O)C(C(C)=O)O)(O)=O
4	C(C(C(C(C=O)=O)CO)O)(C)=O
4	C(C(CC(C=O)=O)O)(CC(C)O)=O
4	C(CC(C(CC(C=O)=O)O)=O)(O)=O
4	C(C(CC(C=O)=O)O)(CCO)=O
4	C(C(CO)C(CC(C(C)=O)O)O)=O
4	C(C)(C(CC(CC(CO)=O)O)O)=O
4	C(C)(C(C(CC(C(C)=O)O)O)O)=O
4	C(C(C=C)C(CC(C(C)=O)O)O)=O
4	C(C(C(CC(C(C)=O)O)O)O)=O
4	C(CC(CC(C(C)=O)O)O)=O
4	C(C)(C(CC(CC(C=O)=O)O)O)=O
4	C(C(CO)C(C)(C(CC=O)O)O)=O
4	C(CC(C(C)(CC(CO)=O)O)O)=O
4	C(CC(C(C)(C(C(C)=O)O)O)O)=O
4	C(C(C=C)C(C)(C(CC=O)O)O)=O
4	C(CC(C(C)(C(C=O)O)O)O)=O
4	C(C(C(CCO)O)C(C(C)=O)O)=O
4	C(C(C(C=O)C(C(C)=O)O)O)=O
4	C(C(C(CO)(C)O)C(C(C)=O)O)=O
4	C(C(C(C(C)=O)O)C(C=CC)O)=O
4	C(C(C(CC=C)O)C(C(C)=O)O)=O
4	C(C(C(CO)O)C(C(C)=O)O)=O
4	C(C(C(C(C)O)O)C(C(C)=O)O)=O
4	C(C(C(C=O)C(C(C)=O)O)O)(O)=O
4	C(C(C(C(C)=O)O)C(C(C)=O)O)=O
4	C(C(CO)C(C(C)=O)O)=O
4	C(CC(C(CC(CCO)O)=O)O)=O
4	C(CC(C(CC(C=O)O)=O)O)=O
4	C(CC(C(CC(CO)(C)O)=O)O)=O
4	C(CC(C(CC(C=CC)O)=O)O)=O
4	C(CC(C(CC(CC=C)O)=O)O)=O
4	C(CC(C(CC(CO)O)=O)O)=O
4	C(CC(C(CC(C(C)O)O)=O)O)=O
4	C(C(CC(C(CC=O)O)=O)O)(O)=O
4	C(CC(C(CC(C)O)=O)O)=O
4	C(CC(C(CC=O)O)=O)(O)=O
4	C(CC(C(CCO)=O)O)=O
4	C(C(C(C(C(O)=O)=O)CO)O)(C)=O
4	C(C(CC(C(O)=O)=O)O)(CCO)=O
4	C(C(CO)C(C=O)(CCO)O)=O
4	C(C(CCO)(C(C(CO)=O)O)O)=O
4	C(C(CCO)(CC(CO)=O)O)=O
