,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,5,O,0.0,1,2983,2208,5191
1,31,C=O,2.0,1,666,1551,2217
2,39,C(C)=O,2.0,1,283,1309,1592
3,20,C(C(C(C(C(CO)O)O)O)O)=O,0.0,1,15,1296,1311
4,0,C(CO)=O,1.0,1,362,565,927
5,516,C(=O)=O,3.0,1,44,803,847
6,3,C(C(C(C(C(CO)O)O)O)O)(O)=O,1.0,1,799,13,812
7,36,C(C)(CO)=O,2.0,1,190,396,586
8,25,C(C(C)=O)=O,2.0,1,151,419,570
9,4,C(C(C(C(C(CO)O)O)O)O)O,1.0,1,500,5,505
10,28,C(C=O)=O,2.0,1,169,247,416
11,512,C(CC=O)=O,3.0,1,33,372,405
12,274,C(CCO)=O,3.0,1,27,317,344
13,530,C(CC(C)=O)=O,3.0,1,16,324,340
14,505,C(C(CO)=O)=O,3.0,1,51,271,322
15,24,C(C(CO)O)=O,2.0,1,126,195,321
16,35,C(C(C=O)O)=O,2.0,1,99,188,287
17,550,C=CC(CO)=O,3.0,1,17,267,284
18,549,C=CC(C=O)=O,3.0,1,13,266,279
19,23,C(CO)(CO)=O,2.0,1,90,186,276
20,561,C(C(C)O)=O,3.0,1,31,234,265
21,26,C(CC(CO)=O)=O,2.0,1,81,178,259
22,37,C(CC(C=O)O)=O,2.0,1,82,154,236
23,27,C(C(C(C)=O)O)=O,2.0,1,78,151,229
24,33,C(CO)(CCO)=O,2.0,1,72,148,220
25,375,C(CC(C)O)=O,3.0,1,7,197,204
26,29,C(C)(C(CO)O)=O,2.0,1,70,124,194
27,32,C(C(CCO)=O)=O,2.0,1,64,128,192
28,527,C(CC(C=O)=O)=O,3.0,1,32,156,188
29,551,C(C=CC=O)=O,3.0,1,11,175,186
30,507,C(C(CO)=O)(C)=O,3.0,1,14,150,164
31,519,C(C(O)=O)=O,3.0,1,21,141,162
32,532,C1(COC(C1)O)=O,3.0,1,4,148,152
33,920,C1(COCC1O)=O,3.0,1,4,145,149
34,529,C(C(C)=O)(C)=O,3.0,1,7,136,143
35,515,C(C(C)=O)(O)=O,3.0,1,6,136,142
36,511,C(CO)(C(C)O)=O,3.0,1,12,121,133
37,40,C(CO)(C(CO)O)=O,2.0,1,56,67,123
38,62,C(CO)(O)=O,2.0,1,35,88,123
39,921,C1(C(O)OCC1)=O,3.0,1,2,121,123
40,476,C(C(C(C)O)O)=O,3.0,1,22,100,122
41,510,C(C(C(C)O)=O)=O,3.0,1,19,101,120
42,477,C(CC(CO)O)=O,3.0,1,11,100,111
43,526,C(C)(CC(C=O)=O)=O,3.0,1,6,96,102
44,548,C(C=CC(CO)=O)=O,3.0,1,4,97,101
45,522,C(C(C=O)O)(O)=O,3.0,1,8,92,100
46,528,C(CC(C(C)=O)=O)=O,3.0,1,3,95,98
47,513,C(C(C(CO)=O)O)=O,3.0,1,15,80,95
48,613,CCO,3.0,1,5,89,94
49,514,C(C(CCO)O)=O,3.0,1,21,72,93
