,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,7,O,0.0,1,1961,467,2428
1,6,C(=O)=O,1.0,1,1841,159,2000
2,21,C=O,1.0,1,511,407,918
3,139,C(CN)(O)=O,0.0,1,43,663,706
4,20,C(C(O)=O)=O,1.0,1,563,89,652
5,130,C(C(CO)N)(O)=O,2.0,1,2,645,647
6,126,C(C(C(CO)O)N)(O)=O,2.0,1,1,613,614
7,129,C(C(C(C(O)=O)N)O)(O)=O,2.0,1,1,612,613
8,127,C(C(C(C(C(CO)O)O)O)N)(O)=O,2.0,1,1,603,604
9,0,C(CO)=O,1.0,1,413,178,591
10,128,C(C(C(O)=O)N)(O)=O,2.0,1,2,581,583
11,186,N,2.0,1,37,511,548
12,5,CN,1.0,1,78,436,514
13,28,C(C(CO)O)=O,2.0,1,330,128,458
14,26,C(C(C=O)O)(O)=O,2.0,1,301,68,369
15,25,C(C(C(C(C(CO)O)O)O)O)=O,0.0,1,17,292,309
16,1479,C(C(C(C(C(CO)O)O)O)=O)(O)=O,3.0,1,297,0,297
17,846,C(C(CO)=O)(O)=O,3.0,1,297,0,297
18,2717,C(C(C(CO)O)=O)(O)=O,3.0,1,296,0,296
19,2718,C(C(C(O)=O)=O)(O)=O,3.0,1,296,0,296
20,2719,C(C(C(C(O)=O)=O)O)(O)=O,3.0,1,296,0,296
21,551,C(C(C(C(CO)O)O)O)=O,3.0,1,296,0,296
22,54,C(C)=O,2.0,1,15,257,272
23,69,C(CNC)=O,2.0,1,7,212,219
24,51,C(C)(CO)=O,2.0,1,28,166,194
25,41,C(C(C)=O)=O,2.0,1,12,167,179
26,3,C(C(C(C(C(CO)O)O)O)O)(O)=O,1.0,1,154,14,168
27,85,C(CNCC(O)=O)=O,2.0,1,2,147,149
28,42,C(CC(CO)=O)=O,2.0,1,11,124,135
29,52,C(CC(C=O)O)=O,2.0,1,13,119,132
30,43,C(C(C(C)=O)O)=O,2.0,1,8,122,130
31,44,C(C=O)=O,2.0,1,35,95,130
32,4,C(C(C(C(C(CO)O)O)O)O)O,1.0,1,124,5,129
33,50,C(C(C=O)O)=O,2.0,1,13,115,128
34,40,C(CO)(CO)=O,2.0,1,9,113,122
35,48,C(CO)(CCO)=O,2.0,1,18,98,116
36,47,C(C(CCO)=O)=O,2.0,1,14,98,112
37,45,C(C)(C(CO)O)=O,2.0,1,14,93,107
38,213,C(CN)O,2.0,1,13,91,104
39,49,C(C(C(C(C)=O)O)O)=O,2.0,1,5,94,99
40,55,C(CO)(C(CO)O)=O,2.0,1,7,90,97
41,1,C(C(C(CO)O)O)=O,1.0,1,31,64,95
42,147,C(CC(C(CC=O)O)=O)=O,2.0,1,5,84,89
43,12,C(C(C(C=O)O)O)(CCO)=O,1.0,1,30,58,88
44,182,C(C(C(C(C=C)=O)O)O)=O,2.0,1,4,82,86
45,46,C(C(CC(CO)=O)O)=O,2.0,1,3,82,85
46,151,C(CC(CC(C=O)O)=O)=O,2.0,1,6,79,85
47,15,C(CC(C(C(C=O)O)O)O)=O,1.0,1,29,55,84
48,11,C(CC(C=O)O)(C(CO)O)=O,1.0,1,29,54,83
49,149,C(C(C(CCC=O)=O)O)=O,2.0,1,4,78,82
