,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,7,O,0.0,1,2223,538,2761
1,6,C(=O)=O,1.0,1,2077,166,2243
2,21,C=O,1.0,1,570,458,1028
3,149,C(CN)(O)=O,0.0,1,47,758,805
4,137,C(C(CO)N)(O)=O,2.0,1,2,738,740
5,20,C(C(O)=O)=O,1.0,1,633,102,735
6,134,C(C(C(C(C(CO)O)O)O)N)(O)=O,2.0,1,38,688,726
7,133,C(C(C(CO)O)N)(O)=O,2.0,1,1,699,700
8,136,C(C(C(C(O)=O)N)O)(O)=O,2.0,1,1,698,699
9,0,C(CO)=O,1.0,1,461,197,658
10,135,C(C(C(O)=O)N)(O)=O,2.0,1,2,652,654
11,208,N,2.0,1,38,592,630
12,5,CN,1.0,1,84,506,590
13,33,C(C(CO)O)=O,2.0,1,377,141,518
14,31,C(C(C=O)O)(O)=O,2.0,1,342,79,421
15,22,[Fe+3],0.0,1,103,305,408
16,116,C(C(C(C(C(CO)O)O)O)=O)(O)=O,2.0,1,343,56,399
17,30,C(C(C(C(C(CO)O)O)O)O)=O,0.0,1,19,330,349
18,25,[Fe+2],0.0,1,274,72,346
19,895,C(C(CO)=O)(O)=O,3.0,1,345,0,345
20,1751,C(C(C(CO)O)=O)(O)=O,3.0,1,343,0,343
21,3185,C(C(C(O)=O)=O)(O)=O,3.0,1,341,0,341
22,3186,C(C(C(C(O)=O)=O)O)(O)=O,3.0,1,341,0,341
23,660,C(C(C(C(CO)O)O)O)=O,3.0,1,337,0,337
24,57,C(C)=O,2.0,1,17,269,286
25,24,[H+],0.0,1,214,68,282
26,74,C(CNC)=O,2.0,1,7,234,241
27,54,C(C)(CO)=O,2.0,1,31,188,219
28,58,C(C(CO)=O)=O,2.0,1,16,186,202
29,44,C(C(C)=O)=O,2.0,1,14,187,201
30,3,C(C(C(C(C(CO)O)O)O)O)(O)=O,1.0,1,175,15,190
31,91,C(CNCC(O)=O)=O,2.0,1,2,159,161
32,45,C(CC(CO)=O)=O,2.0,1,12,144,156
33,55,C(CC(C=O)O)=O,2.0,1,14,138,152
34,46,C(C(C(C)=O)O)=O,2.0,1,9,140,149
35,47,C(C=O)=O,2.0,1,43,103,146
36,4,C(C(C(C(C(CO)O)O)O)O)O,1.0,1,140,5,145
37,53,C(C(C=O)O)=O,2.0,1,14,126,140
38,43,C(CO)(CO)=O,2.0,1,10,123,133
39,51,C(CO)(CCO)=O,2.0,1,18,114,132
40,50,C(C(CCO)=O)=O,2.0,1,16,113,129
41,260,C(C(O)O)=O,2.0,1,1,125,126
42,48,C(C)(C(CO)O)=O,2.0,1,14,106,120
43,241,C(CN)O,2.0,1,13,97,110
44,1,C(C(C(CO)O)O)=O,1.0,1,35,71,106
45,258,C(C(C(CO)O)=O)=O,2.0,1,6,99,105
46,59,C(CO)(C(CO)O)=O,2.0,1,8,96,104
47,52,C(C(C(C(C)=O)O)O)=O,2.0,1,5,97,102
48,12,C(C(C(C=O)O)O)(CCO)=O,1.0,1,33,61,94
49,15,C(CC(C(C(C=O)O)O)O)=O,1.0,1,32,58,90
