,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,9,O,0.0,1,8817,7243,16060
1,11,C=O,0.0,1,1486,6867,8353
2,30,C(C)=O,2.0,1,811,2181,2992
3,3,C(O)=O,1.0,1,2733,0,2733
4,2,C(CO)=O,0.0,1,681,1594,2275
5,4,CO,1.0,1,1717,205,1922
6,1373,C(=O)=O,4.0,1,322,1196,1518
7,2397,C=CC=O,4.0,1,16,1379,1395
8,190,C(C)(CO)=O,3.0,1,402,907,1309
9,24,C(C(C)=O)=O,2.0,1,393,791,1184
10,25,C(CC=O)=O,2.0,1,274,749,1023
11,10,C(C=O)=O,2.0,1,415,601,1016
12,174,C(CCO)=O,3.0,1,290,717,1007
13,2392,C(C)=CC=O,4.0,1,2,792,794
14,178,C(C(CO)=O)=O,3.0,1,282,441,723
15,2393,C(CC=C)=O,4.0,1,2,697,699
16,294,C=CC(C=O)=O,3.0,1,236,453,689
17,1360,C(C(C)O)=O,4.0,1,93,523,616
18,1372,C(CC(C)=O)=O,4.0,1,31,574,605
19,0,C(C(CO)O)=O,1.0,1,256,346,602
20,170,C(CC(C)O)=O,3.0,1,181,366,547
21,1555,C=CC(CO)=O,4.0,1,46,481,527
22,12,C(CO)(CO)=O,2.0,1,196,319,515
23,201,C(CC(O)=O)=O,3.0,1,164,323,487
24,295,C(C=CC=O)=O,3.0,1,157,310,467
25,2444,C1OCC(C=1)=O,4.0,1,1,437,438
26,195,C(C(O)=O)=O,3.0,1,156,253,409
27,28,C(CC(CO)=O)=O,2.0,1,145,252,397
28,2089,C(C(CC)=O)=O,4.0,1,7,384,391
29,27,C(CC(C=O)O)=O,2.0,1,150,217,367
30,200,C(C(C)=O)(O)=O,3.0,1,133,230,363
31,1370,C(C(C=O)O)=O,4.0,1,38,321,359
32,29,C(C(C(C)=O)O)=O,2.0,1,142,214,356
33,290,C1(COCC1O)=O,3.0,1,134,216,350
34,191,C(CO)(CCO)=O,3.0,1,127,219,346
35,182,C(C(CO)=O)(C)=O,3.0,1,125,213,338
36,2295,C(C=CC(C)=O)=O,4.0,1,4,328,332
37,293,C1(COC(C1)O)=O,3.0,1,113,219,332
38,6,C(CO)(O)=O,1.0,1,97,232,329
39,1334,C(CC(C=O)=O)=O,4.0,1,64,262,326
40,2398,C=CC(O)=O,4.0,1,4,320,324
41,193,C(C)(C(CO)O)=O,3.0,1,129,184,313
42,2348,C=C(C=O)C=O,4.0,1,2,311,313
43,1556,C(CO)=CC=O,4.0,1,9,292,301
44,26,C(C(CCO)=O)=O,2.0,1,120,180,300
45,291,C1(C(O)OCC1)=O,3.0,1,113,181,294
46,2213,C1(CC(CO1)=O)=O,4.0,1,9,284,293
47,2394,C(C(C=C)O)=O,4.0,1,47,242,289
48,2094,C(CCC=O)=O,4.0,1,40,240,280
49,2285,C(CC(C=O)=C)=O,4.0,1,8,264,272
