,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,9,O,0.0,1,2684,2115,4799
1,16,C=O,2.0,1,468,1933,2401
2,2,C(C)=O,1.0,1,280,755,1035
3,3,C(=O)=O,1.0,1,400,415,815
4,431,C(CO)=O,4.0,1,103,664,767
5,770,C=CC=O,4.0,1,11,720,731
6,82,C(O)=O,3.0,1,663,0,663
7,87,CO,3.0,1,491,106,597
8,71,C(CCO)=O,3.0,1,130,424,554
9,444,C(C)(CO)=O,4.0,1,8,537,545
10,112,C(C)=CC=O,3.0,1,131,389,520
11,416,C(C(C)=O)=O,4.0,1,12,414,426
12,78,C(C=O)=O,3.0,1,141,279,420
13,113,C(CC=C)=O,3.0,1,93,285,378
14,11,C(C(CO)=O)=O,2.0,1,121,254,375
15,432,C(C(C)O)=O,4.0,1,15,307,322
16,4,C(CC(C)O)=O,2.0,1,76,205,281
17,81,C(C(C=O)O)=O,3.0,1,80,186,266
18,86,C(CO)(CO)=O,3.0,1,78,184,262
19,703,C(CO)(CC)=O,4.0,1,6,256,262
20,438,C(C)(CCO)=O,4.0,1,3,258,261
21,6,C(CC(O)=O)=O,2.0,1,71,188,259
22,430,C(C(CO)O)=O,4.0,1,42,198,240
23,773,C=CC(O)=O,4.0,1,4,224,228
24,17,C(CO)(O)=O,2.0,1,67,144,211
25,702,C(C)(C(C)O)=O,4.0,1,6,202,208
26,268,C(CC(C=O)O)=O,4.0,1,26,177,203
27,12,C(C(C)=O)(O)=O,0.0,1,69,130,199
28,434,C(C(CO)=O)(C)=O,4.0,1,11,173,184
29,687,C(CC(C=O)=O)=O,4.0,1,2,181,183
30,433,C(C(O)=O)=O,4.0,1,45,136,181
31,108,C(C(C=O)O)(O)=O,3.0,1,74,105,179
32,418,C(C(C=O)=O)=O,4.0,1,24,142,166
33,92,C(C(CO)=O)(O)=O,3.0,1,64,101,165
34,417,C(C(C(C)=O)=O)=O,4.0,1,4,150,154
35,821,C(CCCO)=O,4.0,1,3,150,153
36,820,C(C(CC)O)=O,4.0,1,3,148,151
37,437,C(CC(C)=O)(O)=O,4.0,1,6,136,142
38,73,C(CC(C(C)=O)=O)=O,3.0,1,45,91,136
39,8969,C,5.0,1,129,0,129
40,412,C(C(C(C)O)=O)=O,4.0,1,7,118,125
41,88,CCO,3.0,1,24,99,123
42,730,C=C(C=O)C(C)O,4.0,1,3,115,118
43,731,C(C)=C(C=O)CO,4.0,1,4,114,118
44,516,C(C)=CC(O)=O,4.0,1,4,114,118
45,761,C(C=CC(CO)=O)=O,4.0,1,4,112,116
46,1,C(C(CO)O)(O)=O,1.0,1,43,70,113
47,916,C1(C(OCC1)=O)=O,4.0,1,9,104,113
48,64,C(C(C(CO)O)=O)=O,3.0,1,42,69,111
49,666,C=C(C=O)C(O)=O,4.0,1,5,106,111
