Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
120_0,,,,2,2,1,3
C(CC(C(C(C(CO)=O)O)O)O)=O,,,3,1,21,20,41
120_1,,,,2,2,1,3
122_0,,,,2,2,1,3
C(C(CC(C(C(CO)=O)O)O)O)=O,,,3,1,20,18,38
122_1,,,,2,2,1,3
124_0,,,,2,2,1,3
C(CO)(CC(C(C(CO)=O)O)O)=O,,,3,1,17,16,33
124_1,,,,2,2,1,3
126_0,,,,2,2,1,3
C(CC(CO)(C(C(CO)=O)O)O)=O,,,3,1,16,15,31
126_1,,,,2,2,1,3
128_0,,,,2,2,1,3
C(C)(C(C(C(C(CO)=O)O)O)O)=O,,,3,1,18,17,35
128_1,,,,2,2,1,3
130_0,,,,2,2,1,3
C(C(C(C)(C(C(CO)=O)O)O)O)=O,,,3,1,16,16,32
130_1,,,,2,2,1,3
132_0,,,,2,2,1,3
C(CO)(C(C(C)O)O)=O,,,3,1,31,38,69
132_1,,,,2,2,1,3
134_0,,,,2,2,1,3
C(CO)(C(C(C(CO)O)O)O)=O,,,3,1,14,12,26
134_1,,,,2,2,1,3
135_0,,,,2,2,1,3
135_1,,,,2,2,1,3
137_0,,,,2,2,1,3
C(CO)(C(C(CO)O)O)=O,,,3,1,23,22,45
137_1,,,,2,2,1,3
139_0,,,,2,2,1,3
C(C(CC(CO)(C(CO)O)O)=O)=O,,,3,1,14,14,28
141_0,,,,2,2,1,3
C(C(C=O)C(CO)(C(CO)O)O)=O,,,3,1,11,11,22
141_1,,,,2,2,1,3
143_0,,,,2,2,1,3
C(CC(CO)(C(CO)O)O)=O,,,3,1,14,14,28
145_0,,,,2,2,1,3
C(C(C(CO)(C(CO)O)O)O)=O,,,3,1,13,13,26
145_1,,,,2,2,1,3
147_0,,,,2,2,1,3
C(C(C)(C(C(C(CO)O)=O)O)O)=O,,,3,1,16,17,33
147_1,,,,2,2,1,3
149_0,,,,2,2,1,3
C(C(C(C(C(CO)O)=O)O)O)(C)=O,,,3,1,19,18,37
149_1,,,,2,2,1,3
151_0,,,,2,2,1,3
C(CC(C(C(C(CO)O)=O)O)O)=O,,,3,1,17,17,34
151_1,,,,2,2,1,3
153_0,,,,2,2,1,3
C(C(C(C)O)O)(C(CO)O)=O,,,3,1,17,15,32
153_1,,,,2,2,1,3
155_0,,,,2,2,1,3
C(C(CO)O)(C(CO)O)=O,,,3,1,13,12,25
155_1,,,,2,2,1,3
157_0,,,,2,2,1,3
C(C(C(CO)O)O)(C(CO)O)=O,,,3,1,15,13,28
157_1,,,,2,2,1,3
159_0,,,,2,2,1,3
C(C(CC(C(CO)(CO)O)O)=O)=O,,,3,1,9,10,19
161_0,,,,2,2,1,3
C(C(C=O)C(C(CO)(CO)O)O)=O,,,3,1,7,8,15
161_1,,,,2,2,1,3
163_0,,,,2,2,1,3
C(CC(C(CO)(CO)O)O)=O,,,3,1,10,11,21
165_0,,,,2,2,1,3
C(C(C(C(CO)(CO)O)O)O)=O,,,3,1,9,11,20
165_1,,,,2,2,1,3
167_0,,,,2,2,1,3
C(CC(C(CO)(C(CO)O)O)O)=O,,,3,1,13,12,25
169_0,,,,2,2,1,3
C(C(C)(CC(C=O)=O)O)=O,,,3,1,14,20,34
171_0,,,,2,2,1,3
C(C(C=O)C(C=O)(C)O)=O,,,3,1,11,14,25
171_1,,,,2,2,1,3
173_0,,,,2,2,1,3
C(C(C)(C(C(C=O)=O)CO)O)=O,,,3,1,12,17,29
173_1,,,,2,2,1,3
175_0,,,,2,2,1,3
C(C(C(C=O)C(C=O)(C)O)O)=O,,,3,1,11,17,28
175_1,,,,2,2,1,3
177_0,,,,2,2,1,3
C(C(C)(C(C=O)C(CO)=O)O)=O,,,3,1,11,15,26
177_1,,,,2,2,1,3
179_0,,,,2,2,1,3
C(C(C)(C(C(CC=O)=O)O)O)=O,,,3,1,12,17,29
179_1,,,,2,2,1,3
181_0,,,,2,2,1,3
C(C(C)(CC(C(C=O)O)=O)O)=O,,,3,1,11,14,25
183_0,,,,2,2,1,3
C(C(C)(CC=O)O)=O,,,3,1,52,72,124
185_0,,,,2,2,1,3
C(C(C)(C(C=O)O)O)=O,,,3,1,25,31,56
185_1,,,,2,2,1,3
187_0,,,,2,2,1,3
C(C)(C(CC(C=O)=O)O)=O,,,3,1,23,27,50
189_0,,,,2,2,1,3
C(C(C=O)C(C(C)=O)O)=O,,,3,1,19,20,39
189_1,,,,2,2,1,3
191_0,,,,2,2,1,3
C(C(C(C(C=O)=O)CO)O)(C)=O,,,3,1,15,18,33
191_1,,,,2,2,1,3
193_0,,,,2,2,1,3
C(C(C(C=O)C(C(C)=O)O)O)=O,,,3,1,14,18,32
193_1,,,,2,2,1,3
195_0,,,,2,2,1,3
C(C(C(CO)=O)C(C(C)=O)O)=O,,,3,1,14,16,30
195_1,,,,2,2,1,3
197_0,,,,2,2,1,3
C(CC(C(C(C(C)=O)O)O)=O)=O,,,3,1,20,21,41
197_1,,,,2,2,1,3
199_0,,,,2,2,1,3
C(C(C(CC(C(C)=O)O)=O)O)=O,,,3,1,16,16,32
201_0,,,,2,2,1,3
C(CC(C(C)=O)O)=O,,,3,1,87,105,192
203_0,,,,2,2,1,3
C(C(C(C(C)=O)O)O)=O,,,3,1,48,51,99
203_1,,,,2,2,1,3
205_0,,,,2,2,1,3
C(CC(CC(C=O)=O)O)=O,,,3,1,22,30,52
207_0,,,,2,2,1,3
C(C(CCO)(CC(C=O)=O)O)=O,,,3,1,10,15,25
209_0,,,,2,2,1,3
C(C(CC(C=O)=O)O)(CCO)=O,,,3,1,14,17,31
211_0,,,,2,2,1,3
C(CC(C(CC(C=O)=O)O)O)=O,,,3,1,19,24,43
213_0,,,,2,2,1,3
C(C(CC(CC(C=O)=O)O)O)=O,,,3,1,17,20,37
215_0,,,,2,2,1,3
C(CO)(CC(CC(C=O)=O)O)=O,,,3,1,16,19,35
217_0,,,,2,2,1,3
C(CC(CO)(CC(C=O)=O)O)=O,,,3,1,14,19,33
219_0,,,,2,2,1,3
C(C)(C(C(CC(C=O)=O)O)O)=O,,,3,1,18,20,38
221_0,,,,2,2,1,3
C(C(C(C)(CC(C=O)=O)O)O)=O,,,3,1,15,19,34
223_0,,,,2,2,1,3
C(C(CC(C)O)=O)=O,,,3,1,51,76,127
225_0,,,,2,2,1,3
C(C(CC(C(CO)O)O)=O)=O,,,3,1,16,18,34
227_0,,,,2,2,1,3
C(C(CC(C(C(CO)O)O)O)=O)=O,,,3,1,15,15,30
228_0,,,,2,2,1,3
230_0,,,,2,2,1,3
C(C(CC(CO)O)=O)=O,,,3,1,27,33,60
232_0,,,,2,2,1,3
C(C(C=O)C(CC=O)O)=O,,,3,1,17,22,39
232_1,,,,2,2,1,3
234_0,,,,2,2,1,3
C(CC(C(C(C=O)=O)CO)O)=O,,,3,1,16,21,37
234_1,,,,2,2,1,3
236_0,,,,2,2,1,3
C(CC(C(C=O)C(C=O)O)O)=O,,,3,1,17,22,39
236_1,,,,2,2,1,3
238_0,,,,2,2,1,3
C(CC(C(C=O)C(CO)=O)O)=O,,,3,1,13,17,30
238_1,,,,2,2,1,3
240_0,,,,2,2,1,3
C(CC(C(C(CC=O)=O)O)O)=O,,,3,1,17,21,38
240_1,,,,2,2,1,3
