Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
120_0,,,,2,1,1,2
C(C(C(CC(CO)O)O)=O)=O,,,2,1,3,41,44
122_0,,,,2,1,1,2
C(C(CO)O)(CC(CO)=O)=O,,,2,1,6,49,55
124_0,,,,2,1,1,2
C(C(CC(C(CO)=O)O)O)=O,,,2,1,5,48,53
126_0,,,,2,1,1,2
C(CCO)(C(C(CO)=O)O)=O,,,2,1,2,48,50
128_0,,,,2,1,1,2
C(C(C(C(CCO)O)=O)O)=O,,,2,1,3,47,50
130_0,,,,2,1,1,2
C(CO)(C(CC(CO)=O)O)=O,,,2,1,5,53,58
132_0,,,,2,1,1,2
C(C(C(CC(C=O)O)O)O)=O,,,2,1,9,51,60
134_0,,,,2,1,1,2
C(C)(C(C(C(CO)=O)O)O)=O,,,2,1,4,59,63
136_0,,,,2,1,1,2
C(C(C(C=O)O)O)(C(C)O)=O,,,2,1,3,57,60
138_0,,,,2,1,1,2
C(CC(C(C(CO)=O)O)O)=O,,,2,1,4,53,57
140_0,,,,2,2,2,4
C(CNC)=O,,,2,1,7,212,219
142_0,,,,2,2,2,4
C(CNC)(C(CO)O)=O,,,2,1,3,60,63
144_0,,,,2,2,2,4
C(C(C(C(C(CO)O)O)O)NC)=O,,,2,1,6,28,34
146_0,,,,2,2,2,4
C(C(C(CO)O)O)(C(CO)NC)=O,,,2,1,2,30,32
148_0,,,,2,2,2,4
C(CC(C(C(CO)O)=O)NC)=O,,,2,1,5,45,50
150_0,,,,2,2,2,4
C(C(CNC)=O)(CC(CO)O)=O,,,2,1,2,34,36
152_0,,,,2,2,2,4
C(C(C(CC(CO)O)NC)=O)=O,,,2,1,3,36,39
154_0,,,,2,2,2,4
C(C(CO)O)(CC(CNC)=O)=O,,,2,1,2,42,44
156_0,,,,2,2,2,4
C(C(CC(C(CO)=O)NC)O)=O,,,2,1,3,41,44
158_0,,,,2,2,2,4
C(CCO)(C(C(CNC)=O)O)=O,,,2,1,2,40,42
160_0,,,,2,2,2,4
C(C(C(C(CCO)NC)=O)O)=O,,,2,1,3,41,44
162_0,,,,2,2,2,4
C(CC(C(CNC)=O)O)(CO)=O,,,2,1,2,43,45
164_0,,,,2,2,2,4
C(C(CC(C(C=O)O)O)NC)=O,,,2,1,2,46,48
166_0,,,,2,2,2,4
C(C(C(C(CNC)=O)O)O)(C)=O,,,2,1,2,50,52
168_0,,,,2,2,2,4
C(C(C(C=O)O)O)(C(C)NC)=O,,,2,1,3,48,51
170_0,,,,2,2,2,4
C(CC(C(C(CNC)=O)O)O)=O,,,2,1,2,44,46
172_0,,,,2,2,2,4
C(CNCC(O)=O)=O,,,2,1,2,147,149
174_0,,,,2,2,2,4
C(CNCC(O)=O)(C(CO)O)=O,,,2,1,2,35,37
176_0,,,,2,2,2,4
C(CNC)(C(C(C(CO)O)O)O)=O,,,2,1,7,26,33
178_0,,,,2,3,2,5
C(CO)O,,,2,1,4,1,5
180_0,,,,2,3,2,5
C(C(C(CO)O)O)O,,,2,1,3,3,6
182_0,,,,2,3,2,5
C(CO)(CC(C(CO)O)O)=O,,,2,1,4,30,34
184_0,,,,2,3,2,5
C(C(C(CO)O)O)(CCO)=O,,,2,1,7,35,42
186_0,,,,2,3,2,5
C(C(CO)O)(CC(CO)O)=O,,,2,1,5,35,40
187_0,,,,2,3,2,5
188_0,,,,2,3,2,5
189_0,,,,2,3,2,5
191_0,,,,2,3,2,5
C(C)(C(C(C(CO)O)O)O)=O,,,2,1,5,33,38
193_0,,,,2,3,2,5
C(CC(C(C(CO)O)O)O)=O,,,2,1,6,30,36
195_0,,,,2,3,2,5
C(C(C(C(CCO)O)O)O)=O,,,2,1,1,31,32
197_0,,,,2,3,2,5
C(CO)(O)=O,,,2,1,12,29,41
199_0,,,,2,3,2,5
CO,,,2,1,3,7,10
200_0,,,,2,3,2,5
202_0,,,,2,3,2,5
C(C(C(CO)O)O)(O)=O,,,2,1,3,22,25
204_0,,,,2,3,2,5
C(C(CC(C(CO)O)O)=O)(O)=O,,,2,1,2,48,50
206_0,,,,2,3,2,5
C(CC(C(C(CO)O)O)=O)(O)=O,,,2,1,3,32,35
208_0,,,,2,3,2,5
C(C(C(CC(CO)O)=O)O)(O)=O,,,2,1,2,30,32
210_0,,,,2,3,2,5
C(CC(C(O)=O)O)(C(CO)O)=O,,,2,1,3,32,35
212_0,,,,2,3,2,5
C(C(C(C(O)=O)O)O)(CCO)=O,,,2,1,5,34,39
214_0,,,,2,3,2,5
C(C(C(CC(CO)=O)O)O)(O)=O,,,2,1,4,27,31
216_0,,,,2,3,2,5
C(C(C(C(C(C)=O)O)O)O)(O)=O,,,2,1,5,31,36
218_0,,,,2,3,2,5
C(CC(C(C(C(O)=O)O)O)O)=O,,,2,1,4,33,37
220_0,,,,2,3,2,5
C(CC(C(C(C=O)O)O)O)(O)=O,,,2,1,1,33,34
222_0,,,,2,3,2,5
C(C(O)=O)(O)=O,,,2,1,1,1,2
224_0,,,,2,3,2,5
C(O)=O,,,2,1,2,0,2
226_0,,,,2,1,1,2
C1(CC(C(C1(CO)O)O)O)=O,,,2,1,2,29,31
226_1,,,,2,1,1,2
228_0,,,,2,1,1,2
C(C1(C(C(CC1O)O)O)O)=O,,,2,1,4,28,32
228_1,,,,2,1,1,2
230_0,,,,2,2,1,3
C(C(C(CO)O)(C(CO)O)O)=O,,,2,1,2,21,23
230_1,,,,2,2,1,3
232_0,,,,2,2,1,3
C(C(C=O)(C(CO)O)O)(O)=O,,,2,1,4,24,28
232_1,,,,2,2,1,3
234_0,,,,2,2,1,3
C(C(C(CO)O)(C(C(O)=O)O)O)=O,,,2,1,4,29,33
234_1,,,,2,2,1,3
236_0,,,,2,2,1,3
C(C(CO)(C(CO)O)O)=O,,,2,1,4,27,31
236_1,,,,2,2,1,3
238_0,,,,2,2,1,3
C(CC(C(CO)(C(CO)O)O)=O)=O,,,2,1,2,40,42
238_1,,,,2,2,1,3
240_0,,,,2,2,1,3
C(C(C(CC(CO)O)=O)(CO)O)=O,,,2,1,2,37,39
240_1,,,,2,2,1,3
242_0,,,,2,2,1,3
C(CC(C=O)O)(C(CO)(CO)O)=O,,,2,1,2,36,38
