Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
122_0,,,,2,2,1,3
C(C(C=O)C(CC(O)=O)O)(O)=O,,,3,1,8,11,19
122_1,,,,2,2,1,3
124_0,,,,2,2,1,3
C(CC(C(C(C=O)=O)O)O)(O)=O,,,3,1,12,17,29
124_1,,,,2,2,1,3
126_0,,,,2,2,1,3
C(CC(CC(C=O)=O)O)(O)=O,,,3,1,13,16,29
128_0,,,,2,2,1,3
C(CC(C(C(C(O)=O)=O)O)O)(O)=O,,,3,1,9,13,22
128_1,,,,2,2,1,3
130_0,,,,2,2,1,3
C(CC(CC=O)O)(O)=O,,,3,1,24,31,55
132_0,,,,2,2,1,3
C(CC(CC(C(O)=O)=O)O)(O)=O,,,3,1,7,10,17
134_0,,,,2,2,1,3
C(C(C=O)C(C(CO)=O)O)(O)=O,,,3,1,13,15,28
134_1,,,,2,2,1,3
136_0,,,,2,2,1,3
C(C(C=O)C(C=O)(CO)O)(O)=O,,,3,1,10,16,26
136_1,,,,2,2,1,3
138_0,,,,2,2,1,3
C(C(C=O)C(C=O)(C)O)(O)=O,,,3,1,10,13,23
138_1,,,,2,2,1,3
140_0,,,,2,2,1,3
C(C(C=O)C(C(C)=O)O)(O)=O,,,3,1,15,15,30
140_1,,,,2,2,1,3
142_0,,,,2,2,1,3
C(C(C=O)CO)(O)=O,,,3,1,51,52,103
142_1,,,,2,2,1,3
144_0,,,,2,2,1,3
C(C(C=O)C(C(O)=O)(CO)O)(O)=O,,,3,1,12,13,25
144_1,,,,2,2,1,3
145_0,,,,2,2,1,3
145_1,,,,2,2,1,3
147_0,,,,2,2,1,3
C(C(C(O)=O)C(O)=O)=O,,,3,1,16,14,30
147_1,,,,2,2,1,3
149_0,,,,2,2,1,3
C(C(C=O)C(C(O)=O)(C)O)(O)=O,,,3,1,11,12,23
149_1,,,,2,2,1,3
151_0,,,,2,2,1,3
C(C(C)(CC(CC=O)O)O)(O)=O,,,3,1,10,12,22
153_0,,,,2,2,1,3
C(C(CO)C(C(O)=O)(C)O)=O,,,3,1,14,14,28
153_1,,,,2,2,1,3
154_0,,,,2,2,1,3
154_1,,,,2,2,1,3
155_0,,,,2,2,1,3
155_1,,,,2,2,1,3
157_0,,,,2,2,1,3
C(CC(C(O)=O)(CC=O)O)(O)=O,,,3,1,8,10,18
159_0,,,,2,2,1,3
C(C(C(C(O)=O)=O)CO)(O)=O,,,3,1,11,12,23
159_1,,,,2,2,1,3
160_0,,,,2,2,1,3
160_1,,,,2,2,1,3
162_0,,,,2,2,1,3
C(C(C(O)=O)C(C(O)=O)=O)(O)=O,,,3,1,5,7,12
162_1,,,,2,2,1,3
164_0,,,,2,2,1,3
C(C(C(C(C(C)=O)=O)CO)=O)(O)=O,,,3,1,8,11,19
164_1,,,,2,2,1,3
166_0,,,,2,2,1,3
C(C(CC(C(CCO)=O)=O)=O)(O)=O,,,3,1,9,11,20
168_0,,,,2,2,1,3
C(CO)(C(C(C(C=O)=O)O)O)=O,,,3,1,18,22,40
168_1,,,,2,2,1,3
170_0,,,,2,2,1,3
C(CO)(C(CC(C=O)=O)O)=O,,,3,1,20,22,42
172_0,,,,2,2,1,3
C(CO)(C(C(C(C(O)=O)=O)O)O)=O,,,3,1,15,18,33
172_1,,,,2,2,1,3
174_0,,,,2,2,1,3
C(CC(C(CO)=O)O)=O,,,3,1,44,49,93
176_0,,,,2,2,1,3
C(CO)(C(CC(C(O)=O)=O)O)=O,,,3,1,11,14,25
178_0,,,,2,2,1,3
C(C(CO)(C(C(C=O)=O)O)O)=O,,,3,1,14,22,36
178_1,,,,2,2,1,3
180_0,,,,2,2,1,3
C(C(CO)(CC(C=O)=O)O)=O,,,3,1,12,18,30
182_0,,,,2,2,1,3
C(C(CO)(C(C(C(O)=O)=O)O)O)=O,,,3,1,13,19,32
182_1,,,,2,2,1,3
184_0,,,,2,2,1,3
C(C(CO)(CC=O)O)=O,,,3,1,24,31,55
186_0,,,,2,2,1,3
C(C(CO)(CC(C(O)=O)=O)O)=O,,,3,1,9,15,24
188_0,,,,2,2,1,3
C(C(C)(C(C(C=O)=O)O)O)=O,,,3,1,12,18,30
188_1,,,,2,2,1,3
