ID	Type
C(CC(C=O)NCC=O)(CCO)=O	1
C1(CC(C(C(C)=O)O1)O)=O	1
C(C(C(CN)O)O)(CCO)=O	1
C(C(CNC)N)(CC(CO)=O)=O	1
C(C)(CC(C(C=O)N(C)CC=O)=O)=O	1
C(CNC(CO)C(CN)O)(O)=O	1
C(C(C(CNCC(O)=O)=O)O)=O	1
C(CC(C(C(C)=O)=O)NC)=O	1
C(C(C)(CC(C=O)O)O)(O)=O	1
C(C(C(C(C(C)=O)O)NC)O)=O	1
C1(C(C(O)OCC(C1)N)O)=O	1
C(CN(CC=O)CC(O)=O)=O	1
C(C(C(C=CC=O)NCCO)O)=O	1
C(CC(C(C(C)=O)NCCO)=O)=O	1
C(C(CO)O)(CC(CO)(C)O)=O	1
C1(C(C(CO)O)OC(C1CO)O)=O	1
C(C(C1C(CC(O)O1)NC)O)=O	1
C(C(CO)O)(CC(CN)N)=O	1
C(CC(C(CO)(C(CO)O)O)O)=O	1
C(C1(C(C(C(CO)O1)O)O)O)O	1
C(CNCC(CC(C(C)=O)=O)O)=O	1
C(CC(C(C(C)NC)=O)=O)=O	1
C(C(CN)O)(CC(CN)O)=O	1
C(C(C(CO)O)(C(CO)O)O)=O	1
C(C(CO)(C1C(CC(O)O1)O)O)=O	1
C(C(CCO)(C(C(O)=O)N)O)=O	1
C(C(C(CC=O)=O)(CC=O)O)(O)=O	1
C(C(C(O)=O)NCC(CO)=O)(O)=O	1
C(CC(C(CCNC)=O)=O)=O	1
C(C(C(OCC(C)=O)O)O)=O	1
C(C(CNC)=O)(CC(CO)NC)=O	1
C(C1(CC(C(CO)O1)NC)O)=O	1
C(C1C(C(C(C)(O1)O)O)O)=O	1
C1(CC(C(C(C(O)O1)O)O)O)=O	1
C(C=CC(C(CO)(CO)O)=O)=O	1
C1(C(COC(CO)C1)=O)=O	1
C(C(C(CO)NC(CO)C)O)=O	1
C(CC(CO)NCC=O)(CC=O)=O	1
C1(CC(C(C(C1(CO)O)O)O)O)=O	1
C(CNC(C(CO)=O)CO)(O)=O	1
C(C(C(C(C(C)=O)(CO)O)N)O)=O	1
C(C(C(C(C(CO)O)O)O)N)=O	1
C1(C(COC(C(C1)O)O)N)=O	1
C(C(CO)(CC(C(CO)O)O)N)=O	1
C(OC(C(C)=O)C(CO)O)=O	1
C(C(C=CC(CO)O)O)=O	1
C(C(C(C)=O)O)(O)=O	1
C(C(C(CO)O)(C(C=O)O)N)(O)=O	1
C(C(C(C(CCN)=O)O)NC)=O	1
C(CC1C(C(C(O)O1)O)O)O	1
C1(C(C(C(C(CO1)O)O)N)O)=O	1
C(C(C(C)(C(C=O)O)O)N)(O)=O	1
C(CO)(CC(CC(C=O)=O)O)=O	1
C(C(CN)=O)(CC(CO)O)=O	1
C(CC(C(C(CO)NC)O)O)=O	1
C(C(CO)C(C=O)O)(CC=O)=O	1
C(C(C(C(CCO)=O)O)NC)(O)=O	1
C(CC1C(C(C(O)O1)O)O)=O	1
C(CC(C(C(CO)O)N)O)=O	1
C(C(C(C=O)=O)O)=CCO	1
C(C(C)N(C)CC(C(CO)O)=O)=O	1
C(CO)(C(CC(CO)O)NC)=O	1
C(C(C(C(C(C)O)NC)=O)O)=O	1
C(CC(C=O)N)(C(CO)O)=O	1
C1(C(O)OCC1C(C(CO)O)O)=O	1
C(C(C(C(O)=O)NCCO)N)(O)=O	1
C(C(C1(C=CCO1)O)O)=O	1
C1(COC(C(CC1)=O)O)=O	1
C(CC(C(C(CN)O)O)O)=O	1
C(CC(C(C(CO)O)NC)=O)(O)=O	1
C(C(C=O)C(C(CCO)=O)=O)(O)=O	1
C(CNC(C(CCO)=O)CC=O)=O	1
C(CO)(C(C(C(CO)O)N)O)=O	1
C(C(C(C=O)NCC(O)=O)O)(O)=O	1
C(CCN)(C(C(CNC)=O)O)=O	1
C(CC(CO)(CC(C=O)=O)O)=O	1
C(OCC(C(C(C)=O)O)O)=O	1
C(C1(C=CC(CO)O1)O)=O	1
C(C(CO)O)(CC(CN)NC)=O	1
C(CO)(CC(CO)(CO)O)=O	1
C(C(C(C=O)N)O)(O)=O	1
C(C(C(O)=O)O)(O)=O	1
C(C(C(C=O)C(C(C)=O)O)O)=O	1
C1(C(C(CO)OC(C1)O)NC)=O	1
C(C(C(CO)N)O)(CCO)=O	1
CCO	1
C(C(CO)(C(CO)O)O)O	1
C(C(C(C(CO)=O)O)NC)(C)=O	1
C(CO)(C1COC(C(C1O)O)O)=O	1
C(C(CO)(CC(C(C)=O)=O)O)=O	1
C(CC(C(C(CO)(CO)O)O)O)=O	1
CNC1COC(C1O)O	1
C1(C(C(CO)OC(C1)O)O)=O	1
C(C(CC(C(C(CO)=O)O)O)O)=O	1
CC1(C(C(C(CO)O1)O)O)O	1
C1(C(CO)C(C(C1)=O)O)=O	1
C(C(C(C(C=O)O)=O)CC=O)(O)=O	1
C(CCO)(C(C(C=O)=O)CO)=O	1
C(C(CO)NC)(CC(CN)O)=O	1
C(C(C(C)=O)(C(C)O)O)=O	1
C(C1C(C(CC(O1)O)NC)O)=O	1
C(C(C(CO)O)O)(C(CO)N)=O	1
C1(C(CC(C(CO)O1)O)NC)=O	1
C(C(CC(C(C(O)=O)O)O)NC)=O	1
C(C(C(C=O)O)NCC=O)(O)=O	1
C(C1(CC(C(C1)=O)O)O)=O	1
C(C(C(C(O)=O)O)NC)=O	1
C1(CC(C(OC1(CO)CO)O)O)=O	1
C(C(C(CC(CO)=O)O)N)(O)=O	1
C(C)(C(C(C(C(CO)=O)O)O)O)=O	1
C(C(C(CO)O)(C(C)O)O)(O)=O	1
C(C1(COC(C1O)(CCO)O)O)=O	1
C1(C(C(C(O)OCC1CO)O)O)=O	1
C(C(C(CO)NC)N)(O)=O	1
C(C)(C(CC(C=O)O)(CC=O)O)=O	1
C(C(C1CC(C(O)O1)O)O)=O	1
C(C(CCO)N)O	1
C(C(C(CCC=O)=O)N)=O	1
C(CNCC(CO)=O)(O)=O	1
C(C(CCO)(CC(C=O)=O)O)=O	1
C(CNC)(C(CO)N)=O	1
C(C(C)(CC(CO)=O)O)=O	1
C1(C(C(C(C(C1)NC)O)O)O)=O	1
C1(C(C(CO)N)OC(C1)O)=O	1
C(C(C(CCC=O)=O)O)(O)=O	1
C(C1C(C(C(CO)N1)O)O)(O)=O	1
C(CC(C(C(CO)O)O)O)(N)=O	1
C(C(CO)=O)=O	1
C(CN)(C(CC(CO)O)NC)=O	1
C(C(C(C)NCCO)=O)=O	1
C(C(C(C(C(CO)O)N)=O)CO)=O	1
C(C(CO)=O)(CC(CO)O)=O	1
C(CC(C(C(CO)O)N)NC)=O	1
C(C(CCO)(C(C=O)NC)O)=O	1
C(C(C(C(CCN)NC)O)O)=O	1
C(CNCC=CC(C(C=O)O)O)=O	1
C(CNCC(CC(C=O)=O)O)(O)=O	1
C(C(CN)O)(C(CO)C(CO)O)=O	1
C(C(C(CC(C=O)=O)O)C(C)O)=O	1
C(C(C(C(C(C(C)=O)O)O)O)O)=O	1
C(C(C(CCC=O)=O)NCCO)=O	1
C(CC(C(CC(C=O)O)=O)=O)(O)=O	1
C(C(CO)(C(CC(C=O)O)O)O)=O	1
C(C(C(C(C(C)NC)=O)O)NC)=O	1
C(C(C1C(CC(O)O1)O)O)O	1
C1(C(C(C(C(CO)O)O1)N)O)=O	1
C(C(C=O)(C(CNC)O)O)(O)=O	1
C(C(C(CCO)=O)C(C=O)=O)(O)=O	1
C(C1C(CC(C=O)O1)O)=O	1
C(C(C(C(CCO)N)=O)NC)=O	1
C(C(CO)NC(C=O)CC=O)(O)=O	1
C(C(C(C=CCO)N)O)=O	1
C(C)(C(C(C)O)(CC(C=O)=O)O)=O	1
C(C(C=O)C(C(C(C)=O)O)=O)(O)=O	1
C(C(C)NCC(C(CO)O)=O)=O	1
C(CO)(CC(C(C=O)=O)O)=O	1
C(C(CO)C(C(C(C=O)O)O)N)=O	1
C(CCO)(C(C(C=O)=O)O)=O	1
C1(C(CO)(O)OCC(C(C1)O)O)=O	1
C(CC(C(C(C=O)O)N)O)(O)=O	1
C1(C(C(O)OCC(C1)NC)O)=O	1
C(C(C=CC(CO)(CC=O)O)O)=O	1
C(CO)(C1C(CC(O1)O)O)=O	1
C(C1C(C(C(C)(O1)O)O)N)=O	1
C(C1C(C(CC(O1)O)O)NC)=O	1
C1(C(C(C(O)O1)(C(CO)O)O)O)=O	1
C1(C(C(C(C1CO)O)O)O)=O	1
C1C(C(CC(CO)(O)O1)O)O	1
C(C1(C(C(CO)C(C1O)O)O)O)=O	1
C(C(CC(C(CCO)=O)=O)O)=O	1
C(C(CO)=O)(C(CCO)NC)=O	1
C(C(C1C(CC(O)O1)O)O)=O	1
C1(C(CC(C1(CO)O)O)NC)=O	1
C(C(CO)CC(C(C=O)O)=O)=O	1
C(C1C(CC(C(O1)O)NC)O)=O	1
