0	C(C(C)=O)(O)=O	88.016043988	Molecule
1	O	18.010564684	Molecule
2	[OH-]	17.003288232	Molecule
3	[H+]	1.007276452	Molecule
4	[Fe+3]	55.933291759999996	Molecule
5	[Fe+2]	55.933840339999996	Molecule
6	C(C)=O	44.026214748	Molecule
7	C(=O)=O	43.98982924	Molecule
9	C([C](C)O)(O)=O	89.02386902	Molecule
11	C(C(C)O)(O)=O	90.031694052	Molecule
13	C(CC(C)O)=O	88.052429496	Molecule
15	C(CC(O)=O)=O	88.016043988	Molecule
17	C(C(C)=O)=O	72.021129368	Molecule
19	[C](C(O)=O)=C	71.013304336	Molecule
21	C=CC(O)=O	72.021129368	Molecule
23	C(CO)O	62.036779432	Molecule
30	C(C)=CC=O	70.041864812	Molecule
32	C(CC=C)=O	70.041864812	Molecule
34	C(C(CO)O)=O	90.031694052	Molecule
37	C([CH]CO)(O)=O	89.02386902	Molecule
40	C(CCO)(O)=O	90.031694052	Molecule
42	C=C	28.031300127999998	Molecule
44	C(C(C)O)=O	74.036779432	Molecule
