,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
0,0,C(C(C)=O)(O)=O,3,4,3,88.016043988,1,0,2,1
1,0,O,0,2,1,18.010564684,0,0,0,0
2,1,C(C(C)(CC(C(O)=O)=O)O)(O)=O,6,8,6,176.032087976,2,0,4,3
3,1,C(C(CO)O)(O)=O,3,6,4,106.02660867200001,1,0,3,3
4,1,C(C)=O,2,4,1,44.026214748,0,0,1,0
5,1,C(=O)=O,1,0,2,43.98982924,0,0,2,0
6,2,C(CC(C)O)=O,4,8,2,88.052429496,0,0,2,1
7,2,C(C(CC(C)O)=O)(O)=O,5,8,4,132.042258736,1,0,3,2
8,2,C(CC(O)=O)=O,3,4,3,88.016043988,1,0,2,1
9,2,C(C(C)(CC=O)O)(O)=O,5,8,4,132.042258736,1,0,3,2
10,2,C(CC(C(O)=O)=O)(O)=O,4,4,5,132.005873228,2,0,3,2
11,2,C(C(O)=O)(CC(C(C)=O)=O)=O,6,6,5,158.021523292,1,0,4,1
12,2,C(C(CO)=O)=O,3,4,3,88.016043988,0,0,3,1
13,2,C(C(CO)(C(C)O)O)(O)=O,5,10,5,150.05282342,1,0,4,4
14,2,C(C(C(O)=O)(CO)O)(O)=O,4,6,6,150.01643791200001,2,0,4,4
15,2,C(C(CO)(C(C(O)=O)(C)O)O)(O)=O,6,10,7,194.04265266000002,2,0,5,5
16,2,C=O,1,2,1,30.010564684,0,0,1,0
17,2,C(CO)(O)=O,2,4,3,76.016043988,1,0,2,2
18,2,C(C(C)=CC(C(O)=O)=O)(O)=O,6,6,5,158.021523292,2,0,3,2
19,2,C=C(C(O)=O)CC(C(O)=O)=O,6,6,5,158.021523292,2,0,3,2
20,2,C(C(C)(C(C(C(O)=O)O)O)O)(O)=O,6,10,7,194.04265266000002,2,0,5,5
21,2,C(CO)O,2,6,2,62.036779432,0,0,2,2
22,2,C1(C(C)(CC(C(O)=O)(O)O1)O)=O,6,8,6,176.032087976,1,0,5,3
23,2,C(C1(C)CC(C(O1)=O)=O)(O)=O,6,6,5,158.021523292,1,0,4,1
24,2,C1(C(C)(CC(C(O1)=O)=O)O)=O,6,6,5,158.021523292,0,0,5,1
25,3,C(C1(CC(C(C1)=O)=O)O)(O)=O,6,6,5,158.021523292,1,0,4,2
26,3,C(C(C(C)O)C(CC(C)O)O)=O,8,16,4,176.104858992,0,0,4,3
27,3,C(C(C=O)C(CC(C)O)O)(O)=O,7,12,5,176.068473484,1,0,4,3
28,3,C(C(C(C(CC(C)O)O)O)=O)=O,7,12,5,176.068473484,0,0,5,3
29,3,C(CC(CC(C)O)O)=O,6,12,3,132.078644244,0,0,3,2
30,3,C(C(CC(CC(C)O)O)=O)(O)=O,7,12,5,176.068473484,1,0,4,3
31,3,C(C(C(CC(O)=O)O)C(C)O)=O,7,12,5,176.068473484,1,0,4,3
32,3,C(C(C(C)O)C(C(CO)=O)O)=O,7,12,5,176.068473484,0,0,5,3
33,3,C(C(C(C)O)C(C=O)(CO)O)=O,7,12,5,176.068473484,0,0,5,3
34,3,C(C(CO)C(C)O)=O,5,10,3,118.06299418,0,0,3,2
35,3,C(C(C(C)O)C(C)O)=O,6,12,3,132.078644244,0,0,3,2
36,3,C(C(C=O)C(C)O)(O)=O,5,8,4,132.042258736,1,0,3,2
37,3,C(C(C(C)O)C(C(O)=O)(C)O)=O,7,12,5,176.068473484,1,0,4,3
38,3,C(C(CC(C)O)(CC=O)O)(O)=O,7,12,5,176.068473484,1,0,4,3
39,3,C(C(C(CO)C(C)O)=O)(O)=O,6,10,5,162.05282342,1,0,4,3
40,3,C(C(C(C(C)O)C(C)O)=O)(O)=O,7,12,5,176.068473484,1,0,4,3
41,3,C(C(C(C(O)=O)=O)C(C)O)(O)=O,6,8,6,176.032087976,2,0,4,3
42,3,C(C(C=O)C(CC(O)=O)O)(O)=O,6,8,6,176.032087976,2,0,4,3
43,3,C(CC(C(C(C=O)=O)O)O)(O)=O,6,8,6,176.032087976,1,0,5,3
