,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
886,3,C(C(CNC)=O)=O,4,7,2,101.047678464,0,1,3,1
887,3,C(CC(C=O)NC)=O,5,9,2,115.063328528,0,1,3,1
888,3,C(C(C(C)NC)=O)=O,5,9,2,115.063328528,0,1,3,1
889,3,C(CO)(C(C)NC)=O,5,11,2,117.078978592,0,1,3,2
890,3,C(C(C(CNC)=O)O)=O,5,9,3,131.058243148,0,1,4,2
891,3,C(C(C(CO)=O)NC)=O,5,9,3,131.058243148,0,1,4,2
892,3,C(CNCC(CO)=O)(O)=O,5,9,4,147.053157768,1,1,4,3
893,3,C(C(CCO)O)=O,4,8,3,104.047344116,0,0,3,2
894,3,C(C(C)=O)(O)=O,3,4,3,88.016043988,1,0,2,1
895,3,C(CC(C=O)O)(O)=O,4,6,4,118.02660867200001,1,0,3,2
896,3,C(C(CO)=O)(O)=O,3,4,4,104.01095860800001,1,0,3,2
897,3,C(C)(C(CO)(C(C=O)O)O)=O,6,10,5,162.05282342,0,0,5,3
898,3,C(C(C(C)=O)(CO)O)=O,5,8,4,132.042258736,0,0,4,2
899,3,C(C)(C(CO)(CO)O)=O,5,10,4,134.0579088,0,0,4,3
900,3,C(C(CO)=O)(CCO)=O,5,8,4,132.042258736,0,0,4,2
901,3,C(C(C=O)(CO)O)=O,4,6,4,118.02660867200001,0,0,4,2
902,3,C(CC(CNC)=O)=O,5,9,2,115.063328528,0,1,3,1
903,3,C(C(C(C)=O)NC)=O,5,9,2,115.063328528,0,1,3,1
904,3,C(C)(C(CO)NC)=O,5,11,2,117.078978592,0,1,3,2
905,3,C(CC(C=O)O)(CNC)=O,6,11,3,145.073893212,0,1,4,2
906,3,C(CNC)(CCO)=O,5,11,2,117.078978592,0,1,3,2
907,3,C(C(C(C=O)O)NC)(C)=O,6,11,3,145.073893212,0,1,4,2
908,3,C(CNC)(C)=O,4,9,1,87.068413908,0,1,2,1
909,3,C(CN)=O,2,5,1,59.03711378,0,1,2,1
910,3,C(C)(CN)=O,3,7,1,73.052763844,0,1,2,1
911,3,C(CO)(CN)=O,3,7,2,89.047678464,0,1,3,2
912,3,C(C)(CC(C=O)=O)=O,5,6,3,114.031694052,0,0,3,0
913,3,C(CC(C=O)=O)=O,4,4,3,100.016043988,0,0,3,0
914,3,C(CC(C(C)=O)=O)=O,5,6,3,114.031694052,0,0,3,0
915,3,C(C(C)=O)(C)=O,4,6,2,86.036779432,0,0,2,0
916,3,C(CC(C)=O)=O,4,6,2,86.036779432,0,0,2,0
917,3,C(OC(C(C)=O)C(CO)O)=O,6,10,5,162.05282342,0,0,5,2
918,3,C1(COC(C1)O)=O,4,6,3,102.031694052,0,0,3,1
919,3,C(C(C(OCC(C)=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
920,3,C(C(CO)OCC(CO)=O)=O,6,10,5,162.05282342,0,0,5,2
921,3,C(C(CO)OC(C(C)=O)O)=O,6,10,5,162.05282342,0,0,5,2
922,3,C(OC(CO)C(C(C)=O)O)=O,6,10,5,162.05282342,0,0,5,2
923,3,C(OC(CO)CC(CO)=O)=O,6,10,5,162.05282342,0,0,5,2
924,3,C(C)(C(CO)OC(C=O)O)=O,6,10,5,162.05282342,0,0,5,2
925,3,C1(COC(C(C1)O)O)=O,5,8,4,132.042258736,0,0,4,2
926,3,C(C(COCC(CO)=O)O)=O,6,10,5,162.05282342,0,0,5,2
927,3,C(C(COC(C(C)=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
928,3,C(OCC(C(C(C)=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
929,3,C(CO)(CC(OCC=O)O)=O,6,10,5,162.05282342,0,0,5,2
930,3,C(OCC(CC(CO)=O)O)=O,6,10,5,162.05282342,0,0,5,2
931,3,C(C)(C(C(OCC=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
932,3,C(C)(C(COC(C=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
933,3,C(CO)(CCOC(C=O)O)=O,6,10,5,162.05282342,0,0,5,2
934,3,C(CO)(CCN)=O,4,9,2,103.063328528,0,1,3,2
935,3,C(C)(C(CN)O)=O,4,9,2,103.063328528,0,1,3,2
936,3,C(CO)(CC(CN)O)=O,5,11,3,133.073893212,0,1,4,3
937,3,C(C)(C(C(CN)O)O)=O,5,11,3,133.073893212,0,1,4,3
938,3,C(C(CN)O)=O,3,7,2,89.047678464,0,1,3,2
939,3,C(C(C(CN)O)O)=O,4,9,3,119.058243148,0,1,4,3
940,3,C(C)(CCO)=O,4,8,2,88.052429496,0,0,2,1
941,3,C(C(CC(C)=O)O)(O)=O,5,8,4,132.042258736,1,0,3,2
942,3,C(C(C(C)=O)=O)=O,4,4,3,100.016043988,0,0,3,0
943,3,C(CO)(CC(C=O)=O)=O,5,6,4,130.026608672,0,0,4,1
944,3,C(C)(C(C(C=O)=O)O)=O,5,6,4,130.026608672,0,0,4,1
945,3,C(C=CC(CO)=O)=O,5,6,3,114.031694052,0,0,3,1
946,3,C=CC(C=O)=O,4,4,2,84.021129368,0,0,2,0
947,3,C=CC(CO)=O,4,6,2,86.036779432,0,0,2,1
948,3,C(C=CC=O)=O,4,4,2,84.021129368,0,0,2,0
949,3,C(CC(C=O)NC)(CO)=O,6,11,3,145.073893212,0,1,4,2
950,3,C(C)(C(CNC)O)=O,5,11,2,117.078978592,0,1,3,2
951,3,C(C(CCNC)=O)=O,5,9,2,115.063328528,0,1,3,1
952,3,C(CO)(CCNC)=O,5,11,2,117.078978592,0,1,3,2
953,3,C1(C(C(CO1)O)O)=O,4,6,4,118.02660867200001,0,0,4,2
954,3,C1(CC(CO1)O)=O,4,6,3,102.031694052,0,0,3,1
